Date	Lineage	Proportion	Key
2023-01	XBB.1.22.1.3.1(FY.3.1)	0	0XBB.1.22.1.3.1(FY.3.1)
2023-02	XBB.1.22.1.3.1(FY.3.1)	0	0XBB.1.22.1.3.1(FY.3.1)
2023-03	XBB.1.22.1.3.1(FY.3.1)	0	0XBB.1.22.1.3.1(FY.3.1)
2023-04	XBB.1.22.1.3.1(FY.3.1)	0.004314995	0XBB.1.22.1.3.1(FY.3.1)
2023-05	XBB.1.22.1.3.1(FY.3.1)	0.00848382	0XBB.1.22.1.3.1(FY.3.1)
2023-06	XBB.1.22.1.3.1(FY.3.1)	0.030611105	0XBB.1.22.1.3.1(FY.3.1)
2023-07	XBB.1.22.1.3.1(FY.3.1)	0.077256602	0XBB.1.22.1.3.1(FY.3.1)
2023-08	XBB.1.22.1.3.1(FY.3.1)	0.084570691	0XBB.1.22.1.3.1(FY.3.1)
2023-01	XBB.1.5.24.1(GF.1)	0	0XBB.1.5.24.1(GF.1)
2023-02	XBB.1.5.24.1(GF.1)	0	0XBB.1.5.24.1(GF.1)
2023-03	XBB.1.5.24.1(GF.1)	0	0XBB.1.5.24.1(GF.1)
2023-04	XBB.1.5.24.1(GF.1)	0.000674218	0XBB.1.5.24.1(GF.1)
2023-05	XBB.1.5.24.1(GF.1)	0.011453157	0XBB.1.5.24.1(GF.1)
2023-06	XBB.1.5.24.1(GF.1)	0.012624288	0XBB.1.5.24.1(GF.1)
2023-07	XBB.1.5.24.1(GF.1)	0.01616082	0XBB.1.5.24.1(GF.1)
2023-08	XBB.1.5.24.1(GF.1)	0.007746934	0XBB.1.5.24.1(GF.1)
2023-01	XBB.1.9.1.16(FL.16)	0	0XBB.1.9.1.16(FL.16)
2023-02	XBB.1.9.1.16(FL.16)	0	0XBB.1.9.1.16(FL.16)
2023-03	XBB.1.9.1.16(FL.16)	0	0XBB.1.9.1.16(FL.16)
2023-04	XBB.1.9.1.16(FL.16)	0.000269687	0XBB.1.9.1.16(FL.16)
2023-05	XBB.1.9.1.16(FL.16)	0.001939159	0XBB.1.9.1.16(FL.16)
2023-06	XBB.1.9.1.16(FL.16)	0.006256284	0XBB.1.9.1.16(FL.16)
2023-07	XBB.1.9.1.16(FL.16)	0.010051242	0XBB.1.9.1.16(FL.16)
2023-08	XBB.1.9.1.16(FL.16)	0.002582311	0XBB.1.9.1.16(FL.16)
2023-01	XBB.1.16(XBB.1.16)	0	XBB.1.16(XBB.1.16)
2023-01	XBB.1.16.2(XBB.1.16.2)	0	XBB.1.16(XBB.1.16)
2023-02	XBB.1.16(XBB.1.16)	0	XBB.1.16(XBB.1.16)
2023-02	XBB.1.16.2(XBB.1.16.2)	0	XBB.1.16(XBB.1.16)
2023-03	XBB.1.16(XBB.1.16)	0.002457932	XBB.1.16(XBB.1.16)
2023-03	XBB.1.16.2(XBB.1.16.2)	0	XBB.1.16(XBB.1.16)
2023-04	XBB.1.16(XBB.1.16)	0.071332255	XBB.1.16(XBB.1.16)
2023-04	XBB.1.16.2(XBB.1.16.2)	0.001483279	XBB.1.16(XBB.1.16)
2023-05	XBB.1.16(XBB.1.16)	0.099927282	XBB.1.16(XBB.1.16)
2023-05	XBB.1.16.2(XBB.1.16.2)	0.010119985	XBB.1.16(XBB.1.16)
2023-06	XBB.1.16(XBB.1.16)	0.076080885	XBB.1.16(XBB.1.16)
2023-06	XBB.1.16.2(XBB.1.16.2)	0.018992291	XBB.1.16(XBB.1.16)
2023-07	XBB.1.16(XBB.1.16)	0.049073709	XBB.1.16(XBB.1.16)
2023-07	XBB.1.16.2(XBB.1.16.2)	0.017540402	XBB.1.16(XBB.1.16)
2023-08	XBB.1.16(XBB.1.16)	0.031633312	XBB.1.16(XBB.1.16)
2023-08	XBB.1.16.2(XBB.1.16.2)	0.012265978	XBB.1.16(XBB.1.16)
2023-01	XBB.1.16.1(XBB.1.16.1)	0	XBB.1.16.1(XBB.1.16.1)
2023-01	XBB.1.16.1.1(FU.1)	0	XBB.1.16.1(XBB.1.16.1)
