Date	Lineage	Proportion	Key
2023-01	XBB.1(XBB.1)	0.011317568	0XBB.1(XBB.1)
2023-02	XBB.1(XBB.1)	0.037867079	0XBB.1(XBB.1)
2023-03	XBB.1(XBB.1)	0.043268482	0XBB.1(XBB.1)
2023-04	XBB.1(XBB.1)	0.002247913	0XBB.1(XBB.1)
2023-05	XBB.1(XBB.1)	0.002536783	0XBB.1(XBB.1)
2023-06	XBB.1(XBB.1)	0.001454545	0XBB.1(XBB.1)
2023-07	XBB.1(XBB.1)	0	0XBB.1(XBB.1)
2023-08	XBB.1(XBB.1)	0	0XBB.1(XBB.1)
2023-01	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-02	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-03	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-04	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-05	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-06	XBB.1.16.11(XBB.1.16.11)	0.003636364	0XBB.1.16.11(XBB.1.16.11)
2023-07	XBB.1.16.11(XBB.1.16.11)	0.024822695	0XBB.1.16.11(XBB.1.16.11)
2023-08	XBB.1.16.11(XBB.1.16.11)	0.041884817	0XBB.1.16.11(XBB.1.16.11)
2023-01	XBB.1.28.1.1(FW.1)	0	0XBB.1.28.1.1(FW.1)
2023-02	XBB.1.28.1.1(FW.1)	0	0XBB.1.28.1.1(FW.1)
2023-03	XBB.1.28.1.1(FW.1)	0	0XBB.1.28.1.1(FW.1)
2023-04	XBB.1.28.1.1(FW.1)	0	0XBB.1.28.1.1(FW.1)
2023-05	XBB.1.28.1.1(FW.1)	0.000253678	0XBB.1.28.1.1(FW.1)
2023-06	XBB.1.28.1.1(FW.1)	0.000727273	0XBB.1.28.1.1(FW.1)
2023-07	XBB.1.28.1.1(FW.1)	0	0XBB.1.28.1.1(FW.1)
2023-08	XBB.1.28.1.1(FW.1)	0.015706806	0XBB.1.28.1.1(FW.1)
2023-01	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-02	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-03	XBB.1.5.28(XBB.1.5.28)	0.000466926	0XBB.1.5.28(XBB.1.5.28)
2023-04	XBB.1.5.28(XBB.1.5.28)	0.001926782	0XBB.1.5.28(XBB.1.5.28)
2023-05	XBB.1.5.28(XBB.1.5.28)	0.002790462	0XBB.1.5.28(XBB.1.5.28)
2023-06	XBB.1.5.28(XBB.1.5.28)	0.004363636	0XBB.1.5.28(XBB.1.5.28)
2023-07	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-08	XBB.1.5.28(XBB.1.5.28)	0.015706806	0XBB.1.5.28(XBB.1.5.28)
2023-01	XBB.1.5.37(XBB.1.5.37)	0	0XBB.1.5.37(XBB.1.5.37)
2023-02	XBB.1.5.37(XBB.1.5.37)	0.000515198	0XBB.1.5.37(XBB.1.5.37)
2023-03	XBB.1.5.37(XBB.1.5.37)	0.004202335	0XBB.1.5.37(XBB.1.5.37)
2023-04	XBB.1.5.37(XBB.1.5.37)	0.014129737	0XBB.1.5.37(XBB.1.5.37)
2023-05	XBB.1.5.37(XBB.1.5.37)	0.021562659	0XBB.1.5.37(XBB.1.5.37)
2023-06	XBB.1.5.37(XBB.1.5.37)	0.021818182	0XBB.1.5.37(XBB.1.5.37)
2023-07	XBB.1.5.37(XBB.1.5.37)	0.015070922	0XBB.1.5.37(XBB.1.5.37)
2023-08	XBB.1.5.37(XBB.1.5.37)	0	0XBB.1.5.37(XBB.1.5.37)
2023-01	XBB.1.5.46.1(GB.1)	0	0XBB.1.5.46.1(GB.1)
2023-02	XBB.1.5.46.1(GB.1)	0	0XBB.1.5.46.1(GB.1)
2023-03	XBB.1.5.46.1(GB.1)	0	0XBB.1.5.46.1(GB.1)
2023-04	XBB.1.5.46.1(GB.1)	0.000802826	0XBB.1.5.46.1(GB.1)
2023-05	XBB.1.5.46.1(GB.1)	0.011922882	0XBB.1.5.46.1(GB.1)
2023-06	XBB.1.5.46.1(GB.1)	0.025454545	0XBB.1.5.46.1(GB.1)
2023-07	XBB.1.5.46.1(GB.1)	0.019503546	0XBB.1.5.46.1(GB.1)
2023-08	XBB.1.5.46.1(GB.1)	0	0XBB.1.5.46.1(GB.1)
2023-01	XBB.1.5.70(XBB.1.5.70)	0	0XBB.1.5.70(XBB.1.5.70)
2023-02	XBB.1.5.70(XBB.1.5.70)	0	0XBB.1.5.70(XBB.1.5.70)
2023-03	XBB.1.5.70(XBB.1.5.70)	0	0XBB.1.5.70(XBB.1.5.70)
2023-04	XBB.1.5.70(XBB.1.5.70)	0	0XBB.1.5.70(XBB.1.5.70)
