Date	Lineage	Proportion	Key
2023-01	XBB(XBB)	0.042808219	0XBB(XBB)
2023-02	XBB(XBB)	0.015025042	0XBB(XBB)
2023-03	XBB(XBB)	0.009877874	0XBB(XBB)
2023-04	XBB(XBB)	0.006894528	0XBB(XBB)
2023-05	XBB(XBB)	0	0XBB(XBB)
2023-06	XBB(XBB)	0	0XBB(XBB)
2023-07	XBB(XBB)	0	0XBB(XBB)
2023-08	XBB(XBB)	0.03030303	0XBB(XBB)
2023-01	XBB.1(XBB.1)	0.118150685	0XBB.1(XBB.1)
2023-02	XBB.1(XBB.1)	0.287145242	0XBB.1(XBB.1)
2023-03	XBB.1(XBB.1)	0.269037356	0XBB.1(XBB.1)
2023-04	XBB.1(XBB.1)	0.020976969	0XBB.1(XBB.1)
2023-05	XBB.1(XBB.1)	0.014840183	0XBB.1(XBB.1)
2023-06	XBB.1(XBB.1)	0	0XBB.1(XBB.1)
2023-07	XBB.1(XBB.1)	0.012048193	0XBB.1(XBB.1)
2023-08	XBB.1(XBB.1)	0	0XBB.1(XBB.1)
2023-01	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-02	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-03	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-04	XBB.1.16.11(XBB.1.16.11)	0.00073346	0XBB.1.16.11(XBB.1.16.11)
2023-05	XBB.1.16.11(XBB.1.16.11)	0.001141553	0XBB.1.16.11(XBB.1.16.11)
2023-06	XBB.1.16.11(XBB.1.16.11)	0	0XBB.1.16.11(XBB.1.16.11)
2023-07	XBB.1.16.11(XBB.1.16.11)	0.084337349	0XBB.1.16.11(XBB.1.16.11)
2023-08	XBB.1.16.11(XBB.1.16.11)	0.090909091	0XBB.1.16.11(XBB.1.16.11)
2023-01	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-02	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-03	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-04	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-05	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-06	XBB.1.28(XBB.1.28)	0.014084507	0XBB.1.28(XBB.1.28)
2023-07	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-08	XBB.1.28(XBB.1.28)	0	0XBB.1.28(XBB.1.28)
2023-01	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-02	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-03	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-04	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-05	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-06	XBB.1.34(XBB.1.34)	0.014084507	0XBB.1.34(XBB.1.34)
2023-07	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-08	XBB.1.34(XBB.1.34)	0	0XBB.1.34(XBB.1.34)
2023-01	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-02	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-03	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-04	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-05	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-06	XBB.1.44(XBB.1.44)	0.014084507	0XBB.1.44(XBB.1.44)
2023-07	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-08	XBB.1.44(XBB.1.44)	0	0XBB.1.44(XBB.1.44)
2023-01	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-02	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-03	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-04	XBB.1.5.28(XBB.1.5.28)	0.000146692	0XBB.1.5.28(XBB.1.5.28)
2023-05	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-06	XBB.1.5.28(XBB.1.5.28)	0.014084507	0XBB.1.5.28(XBB.1.5.28)
2023-07	XBB.1.5.28(XBB.1.5.28)	0.012048193	0XBB.1.5.28(XBB.1.5.28)
2023-08	XBB.1.5.28(XBB.1.5.28)	0	0XBB.1.5.28(XBB.1.5.28)
2023-01	XBB.1.9(XBB.1.9)	0.025684932	0XBB.1.9(XBB.1.9)
2023-02	XBB.1.9(XBB.1.9)	0.028380634	0XBB.1.9(XBB.1.9)
2023-03	XBB.1.9(XBB.1.9)	0.004310345	0XBB.1.9(XBB.1.9)
2023-04	XBB.1.9(XBB.1.9)	0.000440076	0XBB.1.9(XBB.1.9)
2023-05	XBB.1.9(XBB.1.9)	0.001141553	0XBB.1.9(XBB.1.9)
2023-06	XBB.1.9(XBB.1.9)	0	0XBB.1.9(XBB.1.9)
2023-07	XBB.1.9(XBB.1.9)	0	0XBB.1.9(XBB.1.9)
2023-08	XBB.1.9(XBB.1.9)	0	0XBB.1.9(XBB.1.9)
2023-01	XBB.1.9.2.2(EG.2)	0	0XBB.1.9.2.2(EG.2)
2023-02	XBB.1.9.2.2(EG.2)	0	0XBB.1.9.2.2(EG.2)
2023-03	XBB.1.9.2.2(EG.2)	0	0XBB.1.9.2.2(EG.2)
