Date	Lineage	Proportion	Key
2023-01	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-01	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-02	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-02	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-03	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-03	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-04	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-04	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-05	XBB.2.3.3(XBB.2.3.3)	0.005898123	XBB.2.3.3(XBB.2.3.3)
2023-05	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-06	XBB.2.3.3(XBB.2.3.3)	0.024311183	XBB.2.3.3(XBB.2.3.3)
2023-06	XBB.2.3.3.1(GJ.1)	0.001620746	XBB.2.3.3(XBB.2.3.3)
2023-07	XBB.2.3.3(XBB.2.3.3)	0.009722222	XBB.2.3.3(XBB.2.3.3)
2023-07	XBB.2.3.3.1(GJ.1)	0.029166667	XBB.2.3.3(XBB.2.3.3)
2023-08	XBB.2.3.3(XBB.2.3.3)	0.012738854	XBB.2.3.3(XBB.2.3.3)
2023-08	XBB.2.3.3.1(GJ.1)	0.038216561	XBB.2.3.3(XBB.2.3.3)
2023-01	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-02	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-03	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-04	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-05	XBB.2.3.11(XBB.2.3.11)	0.005898123	XBB.2.3.11(XBB.2.3.11)
2023-06	XBB.2.3.11(XBB.2.3.11)	0.021880065	XBB.2.3.11(XBB.2.3.11)
2023-07	XBB.2.3.11(XBB.2.3.11)	0.027777778	XBB.2.3.11(XBB.2.3.11)
2023-08	XBB.2.3.11(XBB.2.3.11)	0.050955414	XBB.2.3.11(XBB.2.3.11)
2023-01	XBB.2.3(XBB.2.3)	0.00E+00	XBB.2.3(XBB.2.3)
2023-01	XBB.2.3.6(XBB.2.3.6)	0	XBB.2.3(XBB.2.3)
2023-02	XBB.2.3(XBB.2.3)	0	XBB.2.3(XBB.2.3)
2023-02	XBB.2.3.6(XBB.2.3.6)	0	XBB.2.3(XBB.2.3)
2023-03	XBB.2.3(XBB.2.3)	0.006711409	XBB.2.3(XBB.2.3)
2023-03	XBB.2.3.6(XBB.2.3.6)	0	XBB.2.3(XBB.2.3)
2023-04	XBB.2.3(XBB.2.3)	0.143021252	XBB.2.3(XBB.2.3)
2023-04	XBB.2.3.6(XBB.2.3.6)	0	XBB.2.3(XBB.2.3)
2023-05	XBB.2.3(XBB.2.3)	0.095978552	XBB.2.3(XBB.2.3)
2023-05	XBB.2.3.6(XBB.2.3.6)	0.011796247	XBB.2.3(XBB.2.3)
2023-06	XBB.2.3(XBB.2.3)	0.007293355	XBB.2.3(XBB.2.3)
2023-06	XBB.2.3.6(XBB.2.3.6)	0.021880065	XBB.2.3(XBB.2.3)
2023-07	XBB.2.3(XBB.2.3)	0.013888889	XBB.2.3(XBB.2.3)
2023-07	XBB.2.3.6(XBB.2.3.6)	0.004166667	XBB.2.3(XBB.2.3)
2023-08	XBB.2.3(XBB.2.3)	0.012738854	XBB.2.3(XBB.2.3)
2023-08	XBB.2.3.6(XBB.2.3.6)	0	XBB.2.3(XBB.2.3)
2023-01	XBB.1.9.2.5.1(EG.5.1)	0	XBB.1.9.2.5.1(EG.5.1)
