Date	Lineage	Proportion	Key
2023-01	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-01	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-02	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-02	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-03	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-03	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-04	XBB.2.3.3(XBB.2.3.3)	0	XBB.2.3.3(XBB.2.3.3)
2023-04	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-05	XBB.2.3.3(XBB.2.3.3)	0.002790179	XBB.2.3.3(XBB.2.3.3)
2023-05	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-06	XBB.2.3.3(XBB.2.3.3)	0.007033248	XBB.2.3.3(XBB.2.3.3)
2023-06	XBB.2.3.3.1(GJ.1)	0	XBB.2.3.3(XBB.2.3.3)
2023-07	XBB.2.3.3(XBB.2.3.3)	0.012732095	XBB.2.3.3(XBB.2.3.3)
2023-07	XBB.2.3.3.1(GJ.1)	0.014854111	XBB.2.3.3(XBB.2.3.3)
2023-08	XBB.2.3.3(XBB.2.3.3)	0.003125	XBB.2.3.3(XBB.2.3.3)
2023-08	XBB.2.3.3.1(GJ.1)	0.0203125	XBB.2.3.3(XBB.2.3.3)
2023-01	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-02	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-03	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-04	XBB.2.3.11(XBB.2.3.11)	0	XBB.2.3.11(XBB.2.3.11)
2023-05	XBB.2.3.11(XBB.2.3.11)	0.001953125	XBB.2.3.11(XBB.2.3.11)
2023-06	XBB.2.3.11(XBB.2.3.11)	0.00511509	XBB.2.3.11(XBB.2.3.11)
2023-07	XBB.2.3.11(XBB.2.3.11)	0.013793103	XBB.2.3.11(XBB.2.3.11)
2023-08	XBB.2.3.11(XBB.2.3.11)	0.0359375	XBB.2.3.11(XBB.2.3.11)
2023-01	XBB.2.3(XBB.2.3)	5.39E-05	XBB.2.3(XBB.2.3)
2023-02	XBB.2.3(XBB.2.3)	0.000100639	XBB.2.3(XBB.2.3)
2023-03	XBB.2.3(XBB.2.3)	0.000790319	XBB.2.3(XBB.2.3)
2023-04	XBB.2.3(XBB.2.3)	0.009575354	XBB.2.3(XBB.2.3)
2023-05	XBB.2.3(XBB.2.3)	0.01953125	XBB.2.3(XBB.2.3)
2023-06	XBB.2.3(XBB.2.3)	0.023017903	XBB.2.3(XBB.2.3)
2023-07	XBB.2.3(XBB.2.3)	0.018037135	XBB.2.3(XBB.2.3)
2023-08	XBB.2.3(XBB.2.3)	0.0125	XBB.2.3(XBB.2.3)
2023-01	XBB.1.9.2.5.1(EG.5.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-01	XBB.1.9.2.5.1.1(EG.5.1.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-02	XBB.1.9.2.5.1(EG.5.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-02	XBB.1.9.2.5.1.1(EG.5.1.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-03	XBB.1.9.2.5.1(EG.5.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-03	XBB.1.9.2.5.1.1(EG.5.1.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-04	XBB.1.9.2.5.1(EG.5.1)	0	XBB.1.9.2.5.1(EG.5.1)
2023-04	XBB.1.9.2.5.1.1(EG.5.1.1)	0	XBB.1.9.2.5.1(EG.5.1)
