DATASET_SYMBOL																						
SEPARATOR	TAB																					
COLOR	#6a3d9a																					
DATASET_LABEL	Spike Sequence																					
LEGEND_COLORS	#C887A0	#7FAA69	#E8AAA8	#5A42A7	#767DF8	#5E63F8	#45563B	#688657	#A2C3BE	#F1C892	#E49070	#3D3C8A	#5F65B9	#AEB2DB	#888888	#EFC8D7	#AAD492	#77A2A0	#A1A9FA	#E2D268	#DB726B	#E2E2E2
LEGEND_LABELS	WT	XBB.1.16	XBB.1.16.1	XBB.1.16.6	XBB.1.17.1	XBB.1.19.1	XBB.1.22.1	FY.2	FY.4	XBB.1.5	FD.1.1	FG.1	EU.1.1	XBB.1.5.68	EG.1	EG.5	EG.5.1	HK.3	XBB.2.3	XBB.2.3.11	XBB.2.3.3	Others
LEGEND_SHAPES	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
LEGEND_TITLE	Spike Sequence																					
MAXIMUM_SIZE	10																					
DATA																						
WT	2	10	#C887A0	1	1																	
B.1.351	2	10	#C887A0	1	1																	
B.1.617.2	2	10	#C887A0	1	1																	
BA.1	2	10	#C887A0	1	1																	
BA.2	2	10	#C887A0	1	1																	
BA.5	2	10	#C887A0	1	1																	
BF.7	2	10	#C887A0	1	1																	
BQ.1.1	2	10	#C887A0	1	1																	
CH.1.1	2	10	#C887A0	1	1																	
BA.2.86	2	10	#C887A0	1	1																	
XBB.1.16	2	10	#7FAA69	1	1																	
XBB.1.16.1	2	10	#E8AAA8	1	1																	
XBB.1.16.6	2	10	#5A42A7	1	1																	
XBB.1.17.1	2	10	#767DF8	1	1																	
XBB.1.19.1	2	10	#5E63F8	1	1																	
XBB.1.22.1	2	10	#45563B	1	1																	
FY.2	2	10	#688657	1	1																	
FY.4	2	10	#A2C3BE	1	1																	
XBB.1.5	2	10	#F1C892	1	1																	
FD.1.1	2	10	#E49070	1	1																	
FG.1	2	10	#3D3C8A	1	1																	
EU.1.1	2	10	#5F65B9	1	1																	
XBB.1.5.68	2	10	#AEB2DB	1	1																	
EG.1	2	10	#888888	1	1																	
EG.5	2	10	#EFC8D7	1	1																	
EG.5.1	2	10	#AAD492	1	1																	
