Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Singapore/R1MR177/2023	EPI_ISL_16415303	GISAID	 	BN.1.2	Complete	29821	High	0/0/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR189/2023	EPI_ISL_16415306	GISAID	 	BQ.1.23	Complete	29795	Low	41/6/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR185/2023	EPI_ISL_16415313	GISAID	 	BQ.1.23	Complete	29785	Low	631/6/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR176/2023	EPI_ISL_16415304	GISAID	 	BQ.1.1.17	Complete	29818	High	0/0/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR183/2023	EPI_ISL_16415312	GISAID	 	CM.12	Complete	29660	Low	482/5/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR187/2023	EPI_ISL_16415309	GISAID	 	CH.1.1.1	Complete	29754	Low	102/1/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR180/2023	EPI_ISL_16415310	GISAID	 	BA.5.2.48	Partial	29791	Low	81/2/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR191/2023	EPI_ISL_16415305	GISAID	 	CH.1.1.1	Complete	29714	High	0/1/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR184/2023	EPI_ISL_16415302	GISAID	 	BA.5.2.48	Complete	29798	High	0/5/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR188/2023	EPI_ISL_16415300	GISAID	 	CH.1.1.3	Complete	29789	High	0/1/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
hCoV-19/Singapore/R1MR182/2023	EPI_ISL_16415311	GISAID	 	XBB.1	Complete	29720	Low	456/7/NA/NA/NA	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/Singapore/R1MR178/2023	EPI_ISL_16415308	GISAID	 	XBB.1	Complete	29825	High	0/2/-/-/-	Homo sapiens	2023-01-01	Singapore		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:14:10
