Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/India/TG-CDFD-MMG-506/2023	EPI_ISL_16378697	GISAID	 	XBB.1	Partial	28584	Low	1738/0/NA/NA/NA	Homo sapiens	2023-01-01	India / Telangana / Hyderabad		2023-01-04		2023-01-08 04:54:34	2023-01-08 04:54:34
hCoV-19/India/AS-DIB-369646/2023	EPI_ISL_16415612	GISAID	 	XBB.3	Partial	29443	Low	2905/0/NA/NA/NA	Homo sapiens	2023-01-04	India / Arunachal Pradesh / Lohit		2023-01-06		2023-01-10 12:05:30	2023-01-10 12:05:30
hCoV-19/India/GJ-GBRC10167/2023	EPI_ISL_16459352	GISAID	 	BQ.1.1.8	Complete	29802	Low	36/0/NA/NA/NA	Homo sapiens	2023-01-01	India / Gujarat / Ahmedabad		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/GJ-GBRC10168/2023	EPI_ISL_16459353	GISAID	 	BQ.1.1	Complete	29788	Low	498/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Vadodara		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/GJ-GBRC10169/2023	EPI_ISL_16459354	GISAID	 	BQ.1.1.8	Complete	29801	Low	36/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Vadodara		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/GJ-GBRC10170/2023	EPI_ISL_16459355	GISAID	 	XBB.1.9.1	Complete	29801	Low	30/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Ahmedabad		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/GJ-GBRC10171/2023	EPI_ISL_16459356	GISAID	 	XBB.1.9.1	Complete	29789	Low	121/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Ahmedabad		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/GJ-GBRC10172/2023	EPI_ISL_16459357	GISAID	 	BA.2.10.1	Complete	29739	Low	728/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Gujarat / Ahmedabad		2023-01-10		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/TG-CDFD-MMG-507/2023	EPI_ISL_16445249	GISAID	 	BN.1.3	Complete	29661	Low	6200/0/NA/NA/NA	Homo sapiens	2023-01-02	India / Telangana / Hyderabad		2023-01-09		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/TG-CDFD-MMG-508/2023	EPI_ISL_16445250	GISAID	 	BQ.1.1.32	Complete	29626	Low	207/0/NA/NA/NA	Homo sapiens	2023-01-03	India / Telangana / Hyderabad		2023-01-09		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/TG-CDFD-MMG-509/2023	EPI_ISL_16445251	GISAID	 	XBB.1.5	Complete	29649	High	0/0/-/-/-	Homo sapiens	2023-01-04	India / Telangana / Hyderabad		2023-01-09		2023-01-15 22:08:46	2023-01-15 22:14:18
hCoV-19/India/TG-CDFD-MMG-514/2023	EPI_ISL_16445252	GISAID	 	XBB.1	Complete	29549	Low	789/0/NA/NA/NA	Homo sapiens	2023-01-05	India / Telangana / Hyderabad		2023-01-09		2023-01-15 22:08:46	2023-01-15 22:08:46
hCoV-19/India/TG-CDFD-MMG-518/2023	EPI_ISL_16508754	GISAID	 	BA.2	Complete	29684	Low	26/0/NA/NA/NA	Homo sapiens	2023-01-09	India / Telangana / HYDERABAD		2023-01-13		2023-01-17 03:39:44	2023-01-17 03:39:44
hCoV-19/India/TG-CDFD-MMG-519/2023	EPI_ISL_16508755	GISAID	 	XBB.1	Complete	29675	High	0/0/-/-/-	Homo sapiens	2023-01-10	India / Telangana / HYDERABAD		2023-01-13		2023-01-17 03:39:44	2023-01-17 03:44:19
hCoV-19/India/TG-CDFD-MMG-516/2023	EPI_ISL_16508752	GISAID	 	XBB.1.9	Complete	29684	High	0/0/-/-/-	Homo sapiens	2023-01-08	India / Telangana / HYDERABAD		2023-01-13		2023-01-17 03:39:44	2023-01-17 03:44:19
hCoV-19/India/TG-CDFD-MMG-517/2023	EPI_ISL_16508753	GISAID	 	XBB.1.9	Complete	29684	High	0/0/-/-/-	Homo sapiens	2023-01-08	India / Telangana / HYDERABAD		2023-01-13		2023-01-17 03:39:44	2023-01-17 03:44:19
hCoV-19/India/TG-CDFD-MMG-520/2023	EPI_ISL_16508756	GISAID	 	BA.2.10.1	Complete	29652	Low	1492/0/NA/NA/NA	Homo sapiens	2023-01-10	India / Telangana / HYDERABAD		2023-01-13		2023-01-17 03:39:44	2023-01-17 03:39:44
